Username,postdate,text,comments,Retweets,Likes
Andreas Klinger,2020-01-25T21:00:15.000Z,"Remote Work is one of the big opportunities for rural areas.

Every small town will discuss their remote work strategy in the next 1-5 years

And most don’t know what to do other than offer relocation bonus. #requestforstartup

Tulsa & Vermont lead the wayCornwall out to entice remote tech workers | CBC News
Cornwall, Ont., once one of the province's major manufacturing centres, is looking to reinvent itself as a hub for remote tech workers. 
cbc.ca",17,63,270
Minn,2020-07-30T19:06:26.000Z,"I've quoted 
@dpup
 before abt remote work, & I'll do it over & over again: ""The problems at work haven't changed. Going remote just makes clear what was hidden when co-located.""

Sidebar: I'm looking for more ""personal RPA"" for workflow automation! #requestforstartup DMs open Quote Tweet
Meg Bolger
@megmbolger
 · Jul 30
We still have a lot to figure out about remote work. @minney_cat weighs in to assess the remote-work startup landscape, of course with a few of her famous #requestforproduct ideas peppered in throughout. :) https://techcrunch.com/2020/07/30/six-leading-investors-assess-the-remote-work-startup-landscape/…",,2,4
Drew Beechler,2020-09-02T14:17:15.000Z,"I really want to support journalism and pay for more subscriptions, but they just make it so hard with their user back-ends. Is that just me? 

It’s 2020 — subscription & user management has been commoditized in every other digital product EXCEPT for media.
#requestforstartup?",1,,8
Kieran | nocodelife,2020-06-10T11:59:52.000Z,"Product idea: Asynchronous team voice chat app where you can play voice messages at 2x or faster and it automatically removes filler words.

Making team communications twice as efficient.

#requestforstartup #requestforproduct",5,,10
Siddharth Ram,2020-11-28T04:26:51.000Z,"#RequestForStartup

Online Communities 'want' Entertainment/Fun led engagement beyond just content, Q&A.",,1,11
Sharath Kuruganty,2020-10-08T20:49:45.000Z,"Is there a 
@sandwich
 video for maker products? 

If no then that's a #requestforstartup ",4,1,6
Vincent @ Threader,2019-09-21T11:11:55.000Z,#RequestForStartup A downvote button for Product Hunt,,1,7
Minn,2020-03-10T18:54:41.000Z,"Perhaps now is the time for what 
@jamescham
 and I have been looking for for months: Stories for Standups, short video recordings to share what’s going on in your work lives #requestforstartup",3,1,8
Anand Iyer,2020-07-29T03:36:13.000Z,"Couples therapy, but with your kid (instead of your partner). Quarantine related #requestforstartup / #requestforservice",2,,6
Minn,2020-03-09T05:31:26.000Z,"Replying to 
@minney_cat Explicit new norms for effective video communications. E.g., everyone mutes when not speaking, either everyone's or no one's cameras are on to keep convos on level field, how to sign off, etc.

(Tools like http://icebreaker.video or http://huddl.ai can help with this!)",1,2,10
Minn,2020-03-09T05:37:45.000Z,"Pair programming, but for knowledge work 

Tools like 
@PairWithTuple
, 
@getcoscreen
, 
@screenhero
, & IDEs w/ screen share fts help SWEs collaboratively code remotely. There should be something like this but for knowledge workers that's more than GDocs (#requestforstartup)",3,1,5
Shawn Cheng,2019-09-09T17:12:02.000Z,"Can someone build a 
@gyroscope_app
 for baby analytics? Feedings, diaper changes, weigh tracking, sleep schedules, tummy time, multiparty accounts, Apple Watch tap and go logging needed. #requestforstartup",3,,3
Marketing Max,2019-06-25T00:32:59.000Z,"#RequestForStartUp

A company outing / team building collaboration tool... 

Step 1: HR person or CEO or team manager selects a budget and location preference 

Step 2: the team / gets options to vote on which one they want 

Step 3: startup gets small commission 
@ProductHunt",,,2
Richie Cartwright,2020-11-06T18:40:30.000Z,"which is the company which allows you to send little gifts (e.g. plants) to loads of different addresses (e.g. your remote team)?

because if this doesn't exist then #requestforstartup",,,3
Jason Leow ~ sweetjamsites.com,2020-07-09T14:58:07.000Z,"Idea: An Applicant Tracking System but for job seekers. #requestforproduct #requestforstartupQuote Tweet
Ian Kar
Fintech Today
@iankar_
 · Jul 9
how has no one built a CRM for job applicants to manage their job search yet",,1,2
Sandeep Bhadra,2019-10-15T23:22:47.000Z,"Replying to 
@bhadrasandeepThere’s decades of professional and social networking theory on groups, cliques, and weak-vs-strong ties, all of which apply to how we work, and none of which LinkedIn leverages 5/",1,,1
Sandeep Bhadra,2019-10-15T23:24:42.000Z,"For all our collective ‘future of work’ opining, I’m surprised we haven’t founded or funded anything that resembles how we actually work. This at a time when more and more people treat careers as portfolios of projects vs. a linear treadmill /fin #requestforstartup",,,4
Brett Evanson,2019-07-30T00:36:01.000Z,Startup idea: sunglasses that put a little red arrow over your kids heads. Useful in any crazy public place #requestforstartup,1,,1
Paul Yacoubian,2020-09-18T15:00:02.000Z,"NitroRoad - Rainbow Road for Kids

#RequestForStartup #IdeaEveryday",,,2
Adam J. Ceresko,2020-07-16T15:01:11.000Z,"A lot of mental friction gets created when implementing analytics. 

What tool should I use?
What events should I track?
What metrics actually matter?
How the hell do I use these dashboards?!?

You are not alone.

If you feel stuck, reach out and we can chat.",1,,10
David Lobo,2020-07-16T16:00:14.000Z,"What's the 101 for nocode analytics? Google analytics is okay but what about event tracking?!

I've hacked together some form of this with http://bit.ly links and separate typeform but this is onerous...

#requestforstartupBitly | Custom URL Shortener, Link Management & Branded Links
Shorten, create and share trusted, powerful links for your business. Bitly's url and link shortener helps you with industry-leading features like custom domains, branded link and link redirects.
bitly.com",1,,3
Minn,2020-07-23T22:50:09.000Z,"Replying to 
@minney_catWhat else is top of mind for 
@davidu
, 
@karanortman
, 
@andreasklinger
, & 
@roybahat
?
 AR beyond visual effects (sentiment detection, gesture recognition, etc.)
 More home offices
 Increased appetite for cybersecurity
 Expanded healthcare needs",1,,3
Minn,2020-07-23T22:56:17.000Z,"Ooh, #RequestforStartup for 
@david_doswell
's ideas on this topic.
 Global credentialing for remote workers
 Pair learning tools for collaborative learning

Working on either of these? DMs are open :)",1,1,4
Siqi Chen,2020-11-17T01:44:48.000Z,"Aye! I think more companies should reserve allocations for their best customers.Quote Tweet
Taylor Nieman
@Taylor_Nieman
 · Nov 17
This happens all the time with Toucan. 

Our users are so excited about what we're building that they want to invest financially themselves. Absolutely love that our community wants to get this involved. 

Is this something we should seriously consider doing for Toucan? 
 twitter.com/blader/status/…",2,,8
Brian Toh,2020-04-29T10:29:28.000Z,"Have you explored a workaround using zapier and sheets? Sth like this? https://zapier.com/help/create/basics/bulk-import-data-into-zaps…

If it still doesn't work well, you might have found an opportunity to #requestforstartup Bulk import data into Zaps
A regular question we get at Zapier is: Can Zapier import/export my data from App A to App B?
zapier.com",1,,1
Jack Vaughan,2020-03-19T14:47:57.000Z,"Replying to 
@nocodelife
 and 
@coda_hqAfter Effects or any motion graphics software. Although I wish there was a really easy pared down piece of software out there to do things like this. AE is a steep learning curve.",1,,2
Kieran | nocodelife,2020-03-19T14:59:17.000Z,"I've used AE before and know how much work it would take to do something like that!

If only there were an easier way.

#requestforstartup",1,,2
Wes Wagner,2019-09-08T04:47:03.000Z,"Replying to 
@caffeinatedwes@mmcspiritt
 you have more experience here. I'd be curious what you think.

All of the relationship management tools I see here don't quite fit this idea",1,,1
Matt McSpiritt,2019-09-08T20:02:35.000Z,"That's a cool #requestforstartup. Agreed that starting with a niche, manual, and white-glove service is the way to go. 

I haven't seen this in a personal CRM, but the done-for-you/personal assistant for X around your life is fascinating to me.",1,,1
Paul Graham,2020-05-11T14:53:51.000Z,"Most colleges are planning to teach in person rather than online in the fall.

It would be interesting to know precisely what they think is going to change between now and then. An effective treatment? Better testing? Or just ""uh, something?""Here’s Our List of Colleges’ Reopening Models
The Chronicle is teaming up with Davidson College’s College Crisis Initiative, which has collected reopening models for nearly 3,000 institutions, to present a fuller view of the fall.
chronicle.com",80,129,766
helena merk,2020-05-11T23:30:38.000Z,"If re-opening is the only way they are staying alive as an institution... that’s ofc what they’ll do. 

#requestforstartup
We need more creative ways of making online edu social — and this is not just a #covid problem but a general #onlinelearning problem",1,,2
Kelly Vaughn,2020-05-24T22:41:27.000Z,"""I wish I had more time to read!"" she says as she browses social media for four hours straight",28,75,928
Ryan Carter,2020-05-25T18:54:25.000Z,"Solution: put things you'd like to read on social media. Like someone should have books via tweet, post, pic, etc. That way you can waste time doing what you actually WANT to do, and no one will be the wiser. #bigBrain #requestForStartup",,,
Tim Haines,2019-12-19T01:41:38.000Z,"Replying to 
@StedmanBlakeHere here! I love working on planes. Try locking people into a room w strangers and limited space/connectivity for a few hours?",1,,1
Stedman Blake Hood,2019-12-19T01:47:37.000Z,Visionary! Can it have uncomfortable seating and complimentary beverage service too? #RequestForStartup,1,,1
Mo,2019-09-12T20:11:08.000Z,"Remote coffee chat is nice Quote Tweet
Rafa
@rafahari
 · Sep 12, 2019
Coffee hangout meeting with the @Netlify UX & Product team is my new favorite meeting ",1,,5
Alin - Catalin,2019-09-13T07:05:36.000Z,#RequestForStartup RemoteCoffee - coffe hangout with remote people,,,2
daniel debow,2020-08-10T16:08:27.000Z,"If Leo had started Fender Guitars today... it would have been a 
@Shopify
 store. An original, independent crafter with passion for users.   

So... who are the new Leo Fenders?  Who are the best craft guitar makers on Shopify?  

Help me find my next guitar! Quote Tweet
CRAVE Guitars
@CRAVE_Guitars
 · Aug 10
Commemorating the birth date, life and career of one of the most significant figures in guitar music history and business, the one and only Clarence Leonidas 'Leo' Fender (1909-1991, 81), born 10 August in Anaheim, California. @Fender",6,1,28
Michael Bianco,2020-02-17T22:38:23.000Z,#RequestForStartup Service that resolves incorrect bills from medical providers by working directly with your insurance company.,,,1
Juan Felipe Campos,2020-02-26T22:27:04.000Z,"#requestforstartup a job hiring platform where every candidate has read:

Principles by 
@RayDalio
 
Built to Sell by 
@JohnWarrillow
 
Make by 
@levelsio
 
Hard Thing About Hard Things by 
@bhorowitz
 

Only half joking. The mindset shift is palpable. What other books? ",2,,4
David Vogeleer,2020-03-13T16:45:01.000Z,"So, is there an app for shared schedule for community members going to places like grocery stores so they aren’t crowded? #requestForStartup",1,,
Dawid Cedrych,2020-05-14T17:26:41.000Z,#requestforstartup I want to pay small monthly subscription to have X slots to transcribe podcasts. Paying for a individual transcription incentives to avoid doing it,,,
Matt Dominici,2020-03-03T03:44:23.000Z,New #requestforstartup: car review site that has reviews solely based on whether a toddler car seat AND passenger can both comfortably sit in the car,1,,
vishal srivastava,2020-01-03T04:13:37.000Z,https://news.ycombinator.com/item?id=21934736… Scams targeting elderly is the worst possible thing to do #requestforstartup solve this,,1,1
Vincent @ Threader,2019-09-14T11:40:43.000Z,"#RequestForStartup

Twitter meetups where people can share their best thoughts without tweeting them",,,1
nadia genevieve masri,2020-07-29T16:19:35.000Z,Is there a notetaking tool out there that syncs with your Google Calendar so you can have notes associated with calendar events? #requestforstartup,2,,1
Nisarg Shah,2020-03-27T03:41:50.000Z,"What's next.. real-time product placement ads on zoom backdrops depending on the audience? #requestforstartupWest Elm offers free virtual backdrops to cover up coronavirus messes on Zoom
Virtual backgrounds are the new wallpaper.
nypost.com",1,,
Adrian OPREA,2020-04-13T10:24:43.000Z,"I admire the solo people who can do everything by themselves!

But my philosophy is that 50% of something is always better than 100% of nothing. 

https://weremote.eu/blog/why-businesses-with-single-technical-founders-fail…

#startup #foundersWhy businesses with single technical founders fail
Working from coffee-shops has its benefits. You get to meet a lot of remote people who are working on their products — their next big thing. Unfortunately, when asked if the product is launched, if...
weremote.eu",2,1,7
Alin - Catalin,2020-04-13T13:22:58.000Z,"Why do you think http://Ephemeral.ly dind't work out? 

Eg.
#1. I've seen a lot of #requestforstartup for it so one can assume that there might me a need for something like it. 
#2. I've also found users that are deleting there tweets after say 30 days or so",1,,
Quinta Caylor,2019-07-16T15:21:58.000Z,#RequestForStartup Baby monitors for patients who don't like their sleep disturbed by our every 15 minute checks through the night. Adequate sleep is beneficial for mental health. Let's go!,,,2
Jaycee Day,2019-06-15T14:42:15.000Z,#RequestForStartup: Safari clothing rental. I do not want to buy a wardrobe of khakis for one trip.,1,,1
Ben Miller,2020-08-20T23:39:32.000Z,"#requestforstartup Airbnb for people who only use Cash 
 or Cryptocurrency.",,,
Lucas Donnelley,2020-07-23T14:19:05.000Z,"I see ads for ""365,"" ""everyday,"" ""all day every day"" pants, etc. but never see ads for ""Thursday pants."" #requestforstartup",,,1
"Brian Laung Aoaeh, CFA",2019-08-28T21:18:46.000Z,"#RequestForStartup | “Work Trucks” by 
@tomwilliamsWork Trucks
I am actively looking to invest in and support someone that wants to build a “full-stack” solution for poor and middle income manual…
link.medium.com",,,
Elon Musk,2019-10-12T20:32:25.000Z,"French fries 
 are the devil ",1.1K,7.5K,74.6K
Ryan Carter,2019-10-12T20:50:11.000Z,"Just need to make dumb quizzes that gives people good information. 
@BoredElonMusk
 #requestforstartup",,,
Brett Evanson,2019-09-09T19:20:09.000Z,"Replying to 
@Austen#requestforstartup - lambda, but zombie apocalypse training",,,
Apprio,2020-10-09T00:37:29.000Z,"@Request4Startup
 We are helping business leaders with building robust project plans. check us out! #RequestForStartup",,,
justin,2019-09-15T11:12:07.000Z," #requestforstartup - anything that can address dog shit on the streets in #Paris. Guaranteed unicorn, for sure!",,,
gefen,2020-04-06T00:14:43.000Z,"Replying to 
@sarahkunst#requestforstartup worthy? lol",,,
Harrison Mclean,2020-04-03T19:45:44.000Z,"Replying to 
@HazMcleanAccelerate the deployment of mass antibody testing.

We cannot understand the true fatality rate without the denominator.

How many people get the virus and have no symptoms?",1,,
Harrison Mclean,2020-04-03T19:45:44.000Z,"Stop the mask / no mask bullshit.

Now.

Masks work.

If they didn't work, they wouldn't be saying to save them for healthcare workers.

If you have one, wear one.

There is a Unicorn startup to be made from SmartMasks.

Full N95 filtration plus AR glasses.

#RequestForStartup",1,,
Chris Davis,2020-06-12T14:04:34.000Z,"#RequestForStartup 
@ProductHuntQuote Tweet
Pronounced Sher - Elle
@Sherrell_Dorsey
 · Jun 12
I wish I could delegate sleep and workouts, but alas.",,,1
David Wilkinson,2020-08-30T09:15:22.000Z,"Replying to 
@dcuthbertHmmmm #RequestForStartup",1,,
András Fehér,2019-06-25T10:01:13.000Z,#RequestForStartup,1,,
mulaa,2019-10-10T13:04:11.000Z,"#sell #shortlink #linktree #payment #paystack #ravepay #startup #Entrepreneur #solopreneur #RequestForStartup
@BetaList
 @JasonNjoku
 @Sisi_Yemmie
 @Mochievous
 @AubreyHruby
 @AndysHVC
 @KunleCampbell",,,1
Swathy Prithivi,2020-12-16T06:06:18.000Z,"Replying to 
@swathyprithivi33) A fantastic question I've been ruminating on: How do we educate ourselves about what to ask of the technology we're building?",1,,1
Swathy Prithivi,2020-12-16T06:15:21.000Z,"34) #RequestForStartup: A therapy bot / Alexa for you and your conversations, tracking what you're saying (slightly creepy yes), reviewing and surfacing insights about you.",1,,1
